"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Avance del COVID-19 Peru: (1/4)
- El total de ""No activos"", 173,159 (62.74%), arriba de ""Activos"", 102,830 (37.26%), esto es bueno y mantenemos la tendencia; ver curvas amarillas y verdes respectiv. tanto en ""Casos totales"" y en ""Casos totales (%)"".",positivo
"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano #COVIDã¼19  #Dia104 27/06

- Casos:  275989 (+3625)
- Fallecimientos: 9135 (+196)
- Positividad (ultimo dia): 17.59% (-0.40%)
- Positividad (acumulada): 16.97% (+0.01%)
- Recuperados: 164024 (+4218)

ð¢Hoy se reportaron mas recuperados que casos nuevos. https://t.co/izlhN5rW2v",positivo
@Marcos33445566 @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Te creia si el video no esta hecho en forma de meme. Yo veo el programa y creo que lo toman de otra manera ð,negativo
"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Hasta ahora no se practican las mas de seis mil pruebas que dijo se realizaria el ministro Zamora , me refiero a las moleculares . El mismo de Zamora aseguro que se practicaria a las ya sumados cuatro mil pruebas que se hacian y hace , otras seis mas , hasta ahora nada .",negativo
"@Jairo82236809 @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano El porcentaje de positividad depende mucho del tamaño de la muestra. A muestra mas pequeña mas distorsion se genera. 

Si bien el objetivo eran 15K, no deja de ser una cifra baja. Repito, hay mucha mas gente contagiada (sobre todo asintomaticos) que no figura en los registros.",negativo
"@JuanPabloAra1 @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Yo no he dicho que las 28,000 sean por covid pero sin duda los fallecidos por el coronavirus son mas de los 9000 que dice el gobierno, solo sumando las cifras de las direcciones regionales de salud dan 13000 fallecidos",neutro
@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano De acuerdo,positivo
@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Recuerda... https://t.co/PRr19HroZt,neutro
"@MayLevis15 @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Estos porque son anti fujimoristas, que yo tambien soy se creen que uno critica al gobierno xq se lo quiere tumbar. En un año cuando se sepa toda la verdad sobre las cifras de muertes del covid estas ladillas sobones van a decir que no se podian saber",negativo
@felixroj @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Y China mas de dos millones,neutro
"Se puede saber que esta pasando en el Hospital Loayza? Renuncia el director, se hacen cambios en plena pandemia. No podemos dejar de lado este Hospital, que es un importante centro de atencion de los pacientes Covid!! @Minsa_Peru",negativo
